K-0,428a2f98
K-1,71374491
K-2,b5c0fbcf
K-3,e9b5dba5
K-4,3956c25b
K-5,59f111f1
K-6,923f82a4
K-7,ab1c5ed5
K-8,d807aa98
K-9,12835b01
K-10,243185be
K-11,550c7dc3
K-12,72be5d74
K-13,80deb1fe
K-14,9bdc06a7
K-15,c19bf174
K-16,e49b69c1
K-17,efbe4786
K-18,0fc19dc6
K-19,240ca1cc
K-20,2de92c6f
K-21,4a7484aa
K-22,5cb0a9dc
K-23,76f988da
K-24,983e5152
K-25,a831c66d
K-26,b00327c8
K-27,bf597fc7
K-28,c6e00bf3
K-29,d5a79147
K-30,06ca6351
K-31,14292967
K-32,27b70a85
K-33,2e1b2138
K-34,4d2c6dfc
K-35,53380d13
K-36,650a7354
K-37,766a0abb
K-38,81c2c92e
K-39,92722c85
K-40,a2bfe8a1
K-41,a81a664b
K-42,c24b8b70
K-43,c76c51a3
K-44,d192e819
K-45,d6990624
K-46,f40e3585
K-47,106aa070
K-48,19a4c116
K-49,1e376c08
K-50,2748774c
K-51,34b0bcb5
K-52,391c0cb3
K-53,4ed8aa4a
K-54,5b9cca4f
K-55,682e6ff3
K-56,748f82ee
K-57,78a5636f
K-58,84c87814
K-59,8cc70208
K-60,90befffa
K-61,a4506ceb
K-62,bef9a3f7
K-63,c67178f2
H-INIT-0,6a09e667
H-INIT-1,bb67ae85
H-INIT-2,3c6ef372
H-INIT-3,a54ff53a
H-INIT-4,510e527f
H-INIT-5,9b05688c
H-INIT-6,1f83d9ab
H-INIT-7,5be0cd19
